Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Лапша Доширак Квисти со вкусом говядины, 70г;29.99;0.0;1 шт;29.99;https://photos.okolo.app/product/1159302-main/320x320.jpeg
Лапша Доширак Квисти быстрого приготовления со вкусом курицы 70г;29.99;0.0;1 шт;29.99;https://photos.okolo.app/product/1159301-main/320x320.jpeg
Макароны Baisad Спираль высший сорт 450г;49.99;0.0;1 шт;49.99;https://photos.okolo.app/product/1159272-main/320x320.jpeg
Макароны Baisad спагетти 450 г;49.99;0.0;1 шт;49.99;https://photos.okolo.app/product/1159271-main/320x320.jpeg
Макароны Baisad пружинка группа А высший сорт, 450г;49.99;13;1 шт;57.49;https://photos.okolo.app/product/1159269-main/320x320.jpeg
Мука Предпортовая пшеничная высшего сорта, 2кг;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1159246-main/320x320.jpeg
Мука Предпортовая пшеничная высшего сорта, 1кг;69.49;0.0;1 шт;69.49;https://photos.okolo.app/product/1159245-main/320x320.jpeg
Смесь сухая Maggi На второе для плова с курицей, 24г;43.29;28;1 шт;59.99;https://photos.okolo.app/product/1159239-main/320x320.jpeg
Приправа Kotanyi 4 перца в мельнице, 35г;297.99;0.0;1 шт;297.99;https://photos.okolo.app/product/1159219-main/320x320.jpeg
Приправа Kotanyi Шашлык на углях для гриля и шашлыка 30г;49.99;30;1 шт;71.49;https://photos.okolo.app/product/1159215-main/320x320.jpeg
Корица Kotanyi молотая, 25г;72.49;0.0;1 шт;72.49;https://photos.okolo.app/product/1159200-main/320x320.jpeg
Перец душистый Kotanyi горошком, 15г;39.99;44;1 шт;71.19;https://photos.okolo.app/product/1159197-main/320x320.jpeg
Масло подсолнечное Altero с добавлением оливкового 810мл;109.90;19;1 шт;134.99;https://photos.okolo.app/product/1159123-main/320x320.jpeg
Макароны Шебекинские рожок полубублик №202, 450г;49.49;0.0;1 шт;49.49;https://photos.okolo.app/product/1159079-main/320x320.jpeg
Макароны Шебекинские спирали №366, 450г;49.49;0.0;1 шт;49.49;https://photos.okolo.app/product/1159077-main/320x320.jpeg
Макароны Шебекинские перья №343, 450г;49.49;0.0;1 шт;49.49;https://photos.okolo.app/product/1159076-main/320x320.jpeg
Спагетти Шебекинские №2 тонкие 450г;49.99;0.0;1 шт;49.99;https://photos.okolo.app/product/1159072-main/320x320.jpeg
Пюре Картошечка картофельное, 250г;133.99;0.0;1 шт;133.99;https://photos.okolo.app/product/1158974-main/320x320.jpeg
Бульон Роллтон куриный домашний, 100г;33.99;0.0;1 шт;33.99;https://photos.okolo.app/product/1158921-main/320x320.jpeg
Пюре Роллтон картофельное сухариками, 40г;38.99;25;1 шт;51.99;https://photos.okolo.app/product/1158920-main/320x320.jpeg
Пюре Роллтон картофельное с мясным вкусом, 40г;38.99;25;1 шт;51.99;https://photos.okolo.app/product/1158919-main/320x320.jpeg
Пюре Роллтон картофельное с куриным вкусом 40г;34.49;0.0;1 шт;34.49;https://photos.okolo.app/product/1158918-main/320x320.jpeg
Масло подсолнечное Золотая Семечка нерафинированное, 1л;189.99;0.0;1 шт;189.99;https://photos.okolo.app/product/1158888-main/320x320.jpeg
Макароны Makfa перья, 450г;60.99;0.0;1 шт;60.99;https://photos.okolo.app/product/1157253-main/320x320.jpeg
Хлопья овсяные Русский Продукт Геркулес традиционный, 500г;85.99;0.0;1 шт;85.99;https://photos.okolo.app/product/1157252-main/320x320.jpeg
Пудра сахарная Haas 250г;62.99;0.0;1 шт;62.99;https://photos.okolo.app/product/1158725-main/320x320.jpeg
Масло подсолнечное Золотая Семечка рафинированное 1л;124.99;0.0;1 шт;124.99;https://photos.okolo.app/product/1158675-main/320x320.jpeg
