Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Онигири I like eat с форелью и имбирем 100г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1448028-main/320x320.jpeg
Онигири I like eat Калифорния 100г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1448027-main/320x320.jpeg
Онигири I like eat с тунцом 100г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1448026-main/320x320.jpeg
Котлета Freshclub рубленая из курицы 160г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1449401-main/320x320.jpeg
Напиток My Komboocha Зеленый чай нефильтрованный непастеризованный 330мл;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1439271-main/320x320.jpeg
Шашлык Домашний Очаг куриный с картофелем зарумяненным 280г;199.99;0.0;1 шт;199.99;https://photos.okolo.app/product/1403742-main/320x320.jpeg
Тефтели Домашний Очаг в томатном соусе с макаронами 310г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1403740-main/320x320.jpeg
Суп Рестория Шеф борщ украинский с курицей 250г;94.99;0.0;1 шт;94.99;https://photos.okolo.app/product/1396753-main/320x320.jpeg
Плов Рестория Шеф с курицей 250г;119.99;0.0;1 шт;119.99;https://photos.okolo.app/product/1354805-main/320x320.jpeg
Блины Рестория Шеф с мясом 360г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1391713-main/320x320.jpeg
Сырники Рестория Шеф 250г;159.99;0.0;1 шт;159.99;https://photos.okolo.app/product/1354804-main/320x320.jpeg
Салат Рестория Шеф из свеклы 200г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1400432-main/320x320.jpeg
Шницель Великоросс Венский с картофельным пюре 280г;179.99;0.0;1 шт;179.99;https://photos.okolo.app/product/1403739-main/320x320.jpeg
Томленое мясо Рестория Шеф с гречневой кашей 250г;124.99;0.0;1 шт;124.99;https://photos.okolo.app/product/1240176-main/320x320.jpeg
Суп Рестория Шеф куриный с лапшой 250г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1235757-main/320x320.jpeg
Салат Рестория Шеф спаржа по-корейски 200г;114.99;0.0;1 шт;114.99;https://photos.okolo.app/product/1212232-main/320x320.jpeg
Салат Рестория Шеф Морковь по-корейски, 400г;75.99;11;1 шт;84.99;https://photos.okolo.app/product/1212231-main/320x320.jpeg
Салат Рестория Шеф морковь пикантная со спаржей 400г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1212230-main/320x320.jpeg
Салат Рестория Шеф морковь по-корейски 200г;54.99;0.0;1 шт;54.99;https://photos.okolo.app/product/1212229-main/320x320.jpeg
Хумус РЕСТОРИЯ ШЕФ Классический 200г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1211299-main/320x320.jpeg
Салат Fish House из морской капусты с кальмаром в майонезе, 250г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1210297-main/320x320.jpeg
Салат Рестория Шеф винегрет 180г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1210202-main/320x320.jpeg
Салат Рестория Шеф селедка под шубой 250г;124.99;0.0;1 шт;124.99;https://photos.okolo.app/product/1210201-main/320x320.jpeg
Салат Рестория Шеф крабовый 200г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1210200-main/320x320.jpeg
Салат Рестория столичный с курицей 200г;114.99;0.0;1 шт;114.99;https://photos.okolo.app/product/1210195-main/320x320.jpeg
Салат Рестория Шеф оливье 200г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1210192-main/320x320.jpeg
Салат Fish House Чука 180г;119.99;0.0;1 шт;119.99;https://photos.okolo.app/product/1209920-main/320x320.jpeg
Картофель Freshclub По-домашнему 200г;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1449405-main/320x320.jpeg
Блинчики с творогом FreshClub, 210 г;129.99;0.0;1 шт;129.99;https://photos.okolo.app/product/1201506-main/320x320.jpeg
Блинчики с ветчиной и сыром FreshClub, 210 г;129.99;0.0;1 шт;129.99;https://photos.okolo.app/product/1201504-main/320x320.jpeg
Салат Цезарь FreshClub, 150г;149.99;0.0;1 шт;149.99;https://photos.okolo.app/product/1199340-main/320x320.jpeg
Салат Fish House морская капуста с крабовым мясом, 400г;109.99;0.0;1 шт;109.99;https://photos.okolo.app/product/1196071-main/320x320.jpeg
Бифштекс Домашний Очаг с картофелем зарумяненным 250г;159.99;0.0;1 шт;159.99;https://photos.okolo.app/product/1190876-main/320x320.jpeg
Сэндвич ролл с курицей FreshClub, 200 г;111.99;20;1 шт;139.99;https://photos.okolo.app/product/1186092-main/320x320.jpeg
Сэндвич с ветчиной Freshclub, 150 г;134.99;0.0;1 шт;134.99;https://photos.okolo.app/product/1186091-main/320x320.jpeg
Сэндвич с курицей Freshclub, 150 г;114.99;0.0;1 шт;114.99;https://photos.okolo.app/product/1186090-main/320x320.jpeg
Биточек Домашний очаг с гречей 280г;159.99;0.0;1 шт;159.99;https://photos.okolo.app/product/1184256-main/320x320.jpeg
Котлета Домашний Очаг По-киевски с картофельным пюре 410г;159.99;0.0;1 шт;159.99;https://photos.okolo.app/product/1184255-main/320x320.jpeg
Обед комплексный Домашний очаг Меню №27 425г;229.99;0.0;1 шт;229.99;https://photos.okolo.app/product/1183748-main/320x320.jpeg
