Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Смесь овощная 4 Сезона Гавайская быстрозамороженная 400г;109.99;21;1 шт;139.99;https://photos.okolo.app/product/1158738-main/320x320.jpeg
Смесь овощная 4 Сезона Овощи по-деревенски быстрозамороженная 400г;168.99;0.0;1 шт;168.99;https://photos.okolo.app/product/1158736-main/320x320.jpeg
Пломбир Филевская Лакомка в шоколадной глазури 15% 90г;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1158700-main/320x320.jpeg
Блины Морозко с ветчиной и сыром, 420г;129.99;38;1 шт;210.89;https://photos.okolo.app/product/1158569-main/320x320.jpeg
Блины Морозко с творогом, 420г;168.99;0.0;1 шт;168.99;https://photos.okolo.app/product/1158568-main/320x320.jpeg
Блины Морозко с мясом замороженные, 420г;153.99;0.0;1 шт;153.99;https://photos.okolo.app/product/1158567-main/320x320.jpeg
Мороженое Sunreme Малина-Банан в вафельном рожке 8% 78г;76.99;0.0;1 шт;76.99;https://photos.okolo.app/product/1460008-main/320x320.jpeg
Пельмени Бигбули с мясом 900г;332.99;0.0;1 шт;332.99;https://photos.okolo.app/product/1470441-main/320x320.jpeg
Блинчики Морозко С клубничным повидлом 210г;89.98;0.0;1 шт;89.98;https://photos.okolo.app/product/1458626-main/320x320.jpeg
Котлеты Ложкаревъ Классические замороженные 400г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1455814-main/320x320.jpeg
Мороженое Ленинградское с клубникой 10% 100г;64.99;0.0;1 шт;64.99;https://photos.okolo.app/product/1446575-main/320x320.jpeg
Пломбир Станция Молочная в вафельном стаканчике 12% 90г;39.99;0.0;1 шт;39.99;https://photos.okolo.app/product/1449583-main/320x320.jpeg
Смесь лесных грибов Global Village 300г;199.99;0.0;1 шт;199.99;https://photos.okolo.app/product/1433351-main/320x320.jpeg
Пельмени Grand Meni с говядиной в сливочном соусе 750г;399.98;20;1 шт;499.98;https://photos.okolo.app/product/1433664-main/320x320.jpeg
