Название	Цена	Размер скидки	Мера веса/объема/цена за указанную меру	Старая цена	Ссылка на картинку
Изюм светлый	299.99	0.0	1 кг	299.99	https://photos.okolo.app/product/1158839-main/320x320.jpeg
Хлопья овсяные Русский Продукт Геркулес традиционный, 500г	85.99	0.0	1 шт	85.99	https://photos.okolo.app/product/1157252-main/320x320.jpeg
Яйцо куриное Роскар Экстра СО 10шт.	106.99	0.0	1 шт	106.99	https://photos.okolo.app/product/1158174-main/320x320.jpeg
Овощи Салаты с поля руккола, мангольд, шпинат салатные свежие 75г	114.99	0.0	1 шт	114.99	https://photos.okolo.app/product/1430162-main/320x320.jpeg
Смесь Салаты с поля руккола, радиччо, фриссе салатная 75г	91.99	0.0	1 шт	91.99	https://photos.okolo.app/product/1430161-main/320x320.jpeg
Цикорий Great Life растворимый порошкообразный 85г	64.99	0.0	1 шт	64.99	https://photos.okolo.app/product/1433933-main/320x320.jpeg
Фруктоза Great Life кристаллическая 500г	199.99	0.0	1 шт	199.99	https://photos.okolo.app/product/1422779-main/320x320.jpeg
Батончик Snaq Fabriq кокос 40г	69.99	18	1 шт	84.99	https://photos.okolo.app/product/1408643-main/320x320.jpeg
Овощи Белая Дача салатные свежие руккола-айсберг-романо, 75г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1211416-main/320x320.jpeg
Салат Белая Дача руккола-мангольд-мизуна 75г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1211414-main/320x320.jpeg
Хумус РЕСТОРИЯ ШЕФ Классический 200г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1211299-main/320x320.jpeg
Пирожное ProteinRex брауни классическое протеиновое 50г	135.49	0.0	1 шт	135.49	https://photos.okolo.app/product/1405670-main/320x320.jpeg
Напиток Alpro Coconut кокосовый с рисом 750мл	207.99	0.0	1 шт	207.99	https://photos.okolo.app/product/1210199-main/320x320.jpeg
Напиток Alpro Almond  миндальный 0.9% 750мл	207.99	0.0	1 шт	207.99	https://photos.okolo.app/product/1210197-main/320x320.jpeg
Напиток миндальный Nemoloko Barista обогащённый витаминами и минеральными веществами, 1л	99.99	21	1 шт	125.99	https://photos.okolo.app/product/1208875-main/320x320.jpeg
Мюсли Mollis запечённые с орехом, 300г	89.99	14	1 шт	104.99	https://photos.okolo.app/product/1208582-main/320x320.jpeg
Фундук в скорлупе	539.99	0.0	1 кг	539.99	https://photos.okolo.app/product/1207494-main/320x320.jpeg
Смесь фруктовая Mixbar Компотная, 500г	179.99	16	1 шт	214.99	https://photos.okolo.app/product/1207075-main/320x320.jpeg
Ядра миндаля Красная Цена жареные 100г	159.99	0.0	1 шт	159.99	https://photos.okolo.app/product/1206769-main/320x320.jpeg
Сыр творожный LiebenDorf с зеленью 140г	94.99	0.0	1 шт	94.99	https://photos.okolo.app/product/1205841-main/320x320.jpeg
Орехи Красная цена Ядра фундука 100г	148.99	0.0	1 шт	148.99	https://photos.okolo.app/product/1205771-main/320x320.jpeg
Арахис в скорлупе сырой	349.99	0.0	1 кг	349.99	https://photos.okolo.app/product/1205454-main/320x320.jpeg
Орех грецкий в скорлупе	529.99	0.0	1 кг	529.99	https://photos.okolo.app/product/1205453-main/320x320.jpeg
Хлебцы Бурже шведские с семенами 4х70г	81.99	0.0	1 шт	81.99	https://photos.okolo.app/product/1204209-main/320x320.jpeg
Молоко Parmalat безлактозное ультрапастеризованное 1.8%, 1л	137.99	0.0	1 шт	137.99	https://photos.okolo.app/product/1203662-main/320x320.jpeg
Макаронные изделия Federici Спагетти № 3 250г	119.99	0.0	1 шт	119.99	https://photos.okolo.app/product/1202732-main/320x320.jpeg
Мука Garnec универсальная без глютена, 500г	199.99	0.0	1 шт	199.99	https://photos.okolo.app/product/1201156-main/320x320.jpeg
Смесь Mix Bar из сушёных фруктов и орехов, 150г	169.99	15	1 шт	199.99	https://photos.okolo.app/product/1199169-main/320x320.jpeg
Смесь Mixbar из жареных орехов с цукатами, 130г	187.99	0.0	1 шт	187.99	https://photos.okolo.app/product/1199168-main/320x320.jpeg
Цикорий растворимый Большая чашка натуральный растворимый, 85г	209.99	30	1 шт	299.99	https://photos.okolo.app/product/1199122-main/320x320.jpeg
Изюм Mixbar Nature сушёный, 150г	74.99	17	1 шт	89.99	https://photos.okolo.app/product/1198980-main/320x320.jpeg
Миндаль Mixbar сладкий жареный, 100г	139.99	28	1 шт	194.99	https://photos.okolo.app/product/1198779-main/320x320.jpeg
Абрикос Mixbar сушёный, 150г	229.99	0.0	1 шт	229.99	https://photos.okolo.app/product/1198774-main/320x320.jpeg
Фундук Mixbar жареные ядра, 100г	179.99	0.0	1 шт	179.99	https://photos.okolo.app/product/1198771-main/320x320.jpeg
Грецкий орех Mix Bar, 100г	169.99	0.0	1 шт	169.99	https://photos.okolo.app/product/1198743-main/320x320.jpeg
Кешью Mixbar жареный, 150г	299.99	0.0	1 шт	299.99	https://photos.okolo.app/product/1198742-main/320x320.jpeg
Ветчина Папа Может с индейкой, 400г	159.99	46	1 шт	295.99	https://photos.okolo.app/product/1198618-main/320x320.jpeg
Яйцо перепелиное Селяночка 20шт.	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1196559-main/320x320.jpeg
Печенье Bombbar Шоколадный брауни протеиновое 40г	69.99	18	1 шт	85.49	https://photos.okolo.app/product/1195627-main/320x320.jpeg
Батончик Bombbar Малиновый чизкейк неглазированный, 60г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1195626-main/320x320.jpeg
Хлебцы Protein Rex Crispy протеиново-злаковые кокосовый крамбл, 55г	123.99	0.0	1 шт	123.99	https://photos.okolo.app/product/1195107-main/320x320.jpeg
Сахарозаменитель в таблетках Great Life 39г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1195094-main/320x320.jpeg
Яйца Красная цена куриные пищевые столовые 30 шт.	155.99	0.0	1 шт	155.99	https://photos.okolo.app/product/1195039-main/320x320.jpeg
Яйцо куриное Красная Цена С1 10шт.	52.99	0.0	1 шт	52.99	https://photos.okolo.app/product/1195037-main/320x320.jpeg
Яйцо куриное Красная Цена СО 10шт.	62.99	0.0	1 шт	62.99	https://photos.okolo.app/product/1195036-main/320x320.jpeg
Фисташки неочищенные обжаренные подсоленные	1299.00	0.0	1 кг	1299.00	https://photos.okolo.app/product/1194909-main/320x320.jpeg
Форель Балтийский Берег филе-кусок слабосолёная, 200г	329.99	34	1 шт	499.99	https://photos.okolo.app/product/1194368-main/320x320.jpeg
Батончик Bombbar Тирамису неглазированный, 60г	125.99	0.0	1 шт	125.99	https://photos.okolo.app/product/1193513-main/320x320.jpeg
Бананы Вьетконг сушёные 100г	79.99	0.0	1 шт	79.99	https://photos.okolo.app/product/1193471-main/320x320.jpeg
