Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Колбаса Добрая мясная история Вареная 500г;219.99;0.0;1 шт;219.99;https://photos.okolo.app/product/1466801-main/320x320.jpeg
Щечки Ладога Традиционные свиные копчено-вареные;349.99;24;1 кг;459.99;https://photos.okolo.app/product/1457734-main/320x320.jpeg
Колбаса Стародворье Царедворская вареная 400г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1458790-main/320x320.jpeg
Грудинка Иней из свинины к/в 300г;289.99;0.0;1 шт;289.99;https://photos.okolo.app/product/1447451-main/320x320.jpeg
Салями ВладПродукт по-деревенски п/к 300г;80.99;19;1 шт;99.99;https://photos.okolo.app/product/1450086-main/320x320.jpeg
Сосиски Новгородский бекон Студенческие вареные 330г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1442989-main/320x320.jpeg
Сардельки Иней Мясные 500г;199.99;31;1 шт;289.99;https://photos.okolo.app/product/1439200-main/320x320.jpeg
Колбаса Красная цена Классическая вареная 1кг;104.99;0.0;1 шт;104.99;https://photos.okolo.app/product/1437634-main/320x320.jpeg
Сосиски Вязанка Сливочные вареные 670г;269.99;34;1 шт;410.79;https://photos.okolo.app/product/1433842-main/320x320.jpeg
Паштет Красная цена печеночный с грибами 150г;25.99;0.0;1 шт;25.99;https://photos.okolo.app/product/1436555-main/320x320.jpeg
Колбаса Красная Цена Ароматная с/к 300г;109.99;0.0;1 шт;109.99;https://photos.okolo.app/product/1212456-main/320x320.jpeg
Зельц Мясная Ферма прессованное мясо 400г;149.99;0.0;1 шт;149.99;https://photos.okolo.app/product/1210526-main/320x320.jpeg
Сосиски Мясная Ферма сливочные 350г;129.99;0.0;1 шт;129.99;https://photos.okolo.app/product/1209139-main/320x320.jpeg
Рёбра свиные Мясная Ферма в/к;479.99;0.0;1 кг;479.99;https://photos.okolo.app/product/1207977-main/320x320.jpeg
Грудка из мяса птицы копчёно-варёная экстра сорт охлажденная;539.99;0.0;1 кг;539.99;https://photos.okolo.app/product/1207748-main/320x320.jpeg
Сосиски Новгородский бекон говяжьи 500г;124.99;24;1 шт;164.99;https://photos.okolo.app/product/1206427-main/320x320.jpeg
Студень Красная Цена Сытный 300г;63.99;0.0;1 шт;63.99;https://photos.okolo.app/product/1205556-main/320x320.jpeg
Колбаса Красная Цена Юбилейная полукопченая 400г;68.49;0.0;1 шт;68.49;https://photos.okolo.app/product/1205552-main/320x320.jpeg
Сало Мясная ферма Белорусское;719.99;0.0;1 кг;719.99;https://photos.okolo.app/product/1205008-main/320x320.jpeg
Колбаса полукопчёная Великолукский МК По-краковски категория В, 300г;129.99;45;1 шт;237.99;https://photos.okolo.app/product/1204987-main/320x320.jpeg
Холодец Мясная Ферма из свинины и говядины, 400г;199.99;0.0;1 шт;199.99;https://photos.okolo.app/product/1204941-main/320x320.jpeg
Сосиски варёные Великолукский МК Детям с индейкой для детей с 6 лет охлаждённые, 330г;114.99;36;1 шт;179.39;https://photos.okolo.app/product/1204339-main/320x320.jpeg
Колбаса варёная Великолукский МК Детям с индейкой, 500г;179.99;28;1 шт;249.99;https://photos.okolo.app/product/1204337-main/320x320.jpeg
Колбаса варёная Великолукский МК Докторская в нарезке категория А, 250г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1203497-main/320x320.jpeg
Сервелат варёно-копчёный Мясная Ферма, 300г;179.99;13;1 шт;206.99;https://photos.okolo.app/product/1202970-main/320x320.jpeg
Колбаса варёная Стародворье Молочная Дугушка, 400г;267.99;0.0;1 шт;267.99;https://photos.okolo.app/product/1202861-main/320x320.jpeg
Сосиски варёные Папа может Копченые категории Б, 450г;129.99;44;1 шт;232.99;https://photos.okolo.app/product/1202370-main/320x320.jpeg
Колбаса сырокопчёная Мясная Ферма Сальчичон полусухая, 50г;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1201930-main/320x320.jpeg
Колбаса Мясная Ферма Краковская полукопчёная 400г;239.99;0.0;1 шт;239.99;https://photos.okolo.app/product/1201738-main/320x320.jpeg
Сосиски варёные Мясная Ферма Баварские, 440г;199.99;13;1 шт;229.99;https://photos.okolo.app/product/1201737-main/320x320.jpeg
Карбонад свиной Мясная Ферма Юбилейный копчёно-варёный, 150г;109.99;15;1 шт;129.99;https://photos.okolo.app/product/1201713-main/320x320.jpeg
Рулет из мяса птицы Мясная Ферма Филейный копчёно-варёный, 150г;94.99;27;1 шт;129.99;https://photos.okolo.app/product/1201712-main/320x320.jpeg
Сервелат Великолукский МК финский в/к 400г;164.99;39;1 шт;269.99;https://photos.okolo.app/product/1200861-main/320x320.jpeg
Сервелат варёно-копчёный Великолукский МК Зернистый категория Б, 400г;164.99;36;1 шт;256.49;https://photos.okolo.app/product/1200860-main/320x320.jpeg
Шпикачки варёные Папа может сочные категория В, 400г;283.99;0.0;1 шт;283.99;https://photos.okolo.app/product/1200458-main/320x320.jpeg
Ветчина Папа Может с индейкой, 400г;159.99;46;1 шт;295.99;https://photos.okolo.app/product/1198618-main/320x320.jpeg
Колбаса варёная Папа Может Балыковая, 400г;169.99;35;1 шт;259.59;https://photos.okolo.app/product/1196246-main/320x320.jpeg
Сосиски Владимирский Стандарт Баварские охлаждённые 420г;119.99;47;1 шт;225.99;https://photos.okolo.app/product/1194165-main/320x320.jpeg
Колбаски куриные Kabanos Chiken сырокопчёные 70г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1192331-main/320x320.jpeg
Сосиски Стародворье сливочные по-стародворски, 450г;271.98;0.0;1 шт;271.98;https://photos.okolo.app/product/1189469-main/320x320.jpeg
Колбаса варёная Стародворье Докторская традиционная, 500г;149.99;40;1 шт;249.99;https://photos.okolo.app/product/1189300-main/320x320.jpeg
Колбаса сырокопчёная Ногинский Брауншвейгская особая высший сорт, 250г;293.99;0.0;1 шт;293.99;https://photos.okolo.app/product/1188352-main/320x320.jpeg
Сосиски Красная Цена Аппетитные вареные 300г;26.49;0.0;1 шт;26.49;https://photos.okolo.app/product/1188128-main/320x320.jpeg
Сосиски варёные Стародворье Баварские, 420г;119.89;47;1 шт;226.99;https://photos.okolo.app/product/1187882-main/320x320.jpeg
Сардельки Вязанка Стародворские, 470г;189.99;34;1 шт;288.99;https://photos.okolo.app/product/1187670-main/320x320.jpeg
Колбаса Великолукский МК варёная молочная 500г;289.99;0.0;1 шт;289.99;https://photos.okolo.app/product/1187541-main/320x320.jpeg
Колбаса варёная Великолукский МК Докторская, 500г;289.99;0.0;1 шт;289.99;https://photos.okolo.app/product/1187540-main/320x320.jpeg
Говядина Иней Отборная варёно-копчёная нарезка, 100г;219.99;0.0;1 шт;219.99;https://photos.okolo.app/product/1187094-main/320x320.jpeg
Сервелат варёно-копчёный Папа Может Русский, 310г;279.98;0.0;1 шт;279.98;https://photos.okolo.app/product/1186340-main/320x320.jpeg
Салями полукопчёная Останкино Финская, 310г;259.98;0.0;1 шт;259.98;https://photos.okolo.app/product/1186339-main/320x320.jpeg
Колбаса полукопчёная Новгородский Бекон Домашняя, 500г;319.99;0.0;1 шт;319.99;https://photos.okolo.app/product/1185896-main/320x320.jpeg
Колбаса полукопчёная Новгородский Бекон свиная, 240г;139.99;35;1 шт;213.99;https://photos.okolo.app/product/1185892-main/320x320.jpeg
Колбаса сырокопчёная Ремит Trio mio в нарезке ассорти, 100г;139.99;39;1 шт;229.99;https://photos.okolo.app/product/1185800-main/320x320.jpeg
Колбаса Красная Цена Классическая варёная 350г;32.19;0.0;1 шт;32.19;https://photos.okolo.app/product/1185598-main/320x320.jpeg
Ветчина Красная Цена из индейки 400г;83.49;0.0;1 шт;83.49;https://photos.okolo.app/product/1184494-main/320x320.jpeg
Колбаса Вязанка Докторская вареная 400г;289.99;0.0;1 шт;289.99;https://photos.okolo.app/product/1184245-main/320x320.jpeg
Колбаса  Царицыно Халяль телячья особая вареная 500г;209.99;0.0;1 шт;209.99;https://photos.okolo.app/product/1183484-main/320x320.jpeg
Чипсы мясные Великолукский МК Копчёные сырокопчёные, 40г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1183367-main/320x320.jpeg
Сосиски Вязанка молочные 450г;269.99;0.0;1 шт;269.99;https://photos.okolo.app/product/1183284-main/320x320.jpeg
Сосиски Папа Может Гриль мастер, 450г;149.99;35;1 шт;229.49;https://photos.okolo.app/product/1183035-main/320x320.jpeg
Филе цыплёнка-бройлера Новгородский бекон сырокопчёное, кг;772.99;0.0;1 кг;772.99;https://photos.okolo.app/product/1182925-main/320x320.jpeg
Сосиски Вязанка рубленые, 500г;299.99;0.0;1 шт;299.99;https://photos.okolo.app/product/1181418-main/320x320.jpeg
Салями сырокопчёная Клинский Венская, 300г;405.99;0.0;1 шт;405.99;https://photos.okolo.app/product/1180787-main/320x320.jpeg
Сосиски Останкино Филейные 495г;289.99;0.0;1 шт;289.99;https://photos.okolo.app/product/1178809-main/320x320.jpeg
Сосиски Папа Может молочные премиум, 600г;329.99;0.0;1 шт;329.99;https://photos.okolo.app/product/1178388-main/320x320.jpeg
Колбаса варёная Папа Может Филейная, 500г;262.99;0.0;1 шт;262.99;https://photos.okolo.app/product/1178138-main/320x320.jpeg
Колбаса сырокопчёная Останкино Юбилейная срез, 250г;159.99;53;1 шт;339.99;https://photos.okolo.app/product/1178137-main/320x320.jpeg
Сервелат варёно-копчёный Останкино Европейский, 420г;189.99;46;1 шт;353.99;https://photos.okolo.app/product/1177776-main/320x320.jpeg
Окорок Иней Юбилейный копчёно-варёный, 300г;199.99;32;1 шт;294.89;https://photos.okolo.app/product/1176653-main/320x320.jpeg
Колбаса варёная Папа Может Мясная, 500г;249.99;0.0;1 шт;249.99;https://photos.okolo.app/product/1175882-main/320x320.jpeg
Колбаса Ладога говяжья полукопченая 300г;99.99;23;1 шт;129.99;https://photos.okolo.app/product/1439221-main/320x320.jpeg
Карбонад Великолукский МК Славянский копчёно-варёный, 300г;249.99;0.0;1 шт;249.99;https://photos.okolo.app/product/1175008-main/320x320.jpeg
Грудинка Великолукский МК Охотничья варёно-копчёная, 300г;159.99;0.0;1 шт;159.99;https://photos.okolo.app/product/1175006-main/320x320.jpeg
Колбаса Вязанка Со шпиком, 500г;169.99;45;1 шт;307.19;https://photos.okolo.app/product/1174248-main/320x320.jpeg
Сосиски Папа Может сочные, 600г;309.99;0.0;1 шт;309.99;https://photos.okolo.app/product/1174124-main/320x320.jpeg
Сосиски Клинский Венские 470г;199.99;35;1 шт;307.29;https://photos.okolo.app/product/1215798-main/320x320.jpeg
Паштет Красная Цена печеночный 150г;19.99;0.0;1 шт;19.99;https://photos.okolo.app/product/1173626-main/320x320.jpeg
Сервелат варёно-копчёный Останкино Зернистый, 420г;332.99;0.0;1 шт;332.99;https://photos.okolo.app/product/1173343-main/320x320.jpeg
Сервелат варёно-копчёный Папа Может Финский, 420г;332.99;0.0;1 шт;332.99;https://photos.okolo.app/product/1172378-main/320x320.jpeg
Колбаса сырокопчёная Останкино Пресижн, 250г;189.99;44;1 шт;339.99;https://photos.okolo.app/product/1172333-main/320x320.jpeg
Колбаса полукопчёная Папа Может Чесночная, 420г;307.99;0.0;1 шт;307.99;https://photos.okolo.app/product/1172189-main/320x320.jpeg
Колбаса сыровяленая Casademont Фуэт экстра, 150г;239.99;38;1 шт;389.99;https://photos.okolo.app/product/1172044-main/320x320.jpeg
Колбаски полукопчёные Иней Охотничьи, 350г;259.99;24;1 шт;343.99;https://photos.okolo.app/product/1171351-main/320x320.jpeg
Салями полукопчёная Останкино Венская, 420г;189.99;37;1 шт;299.99;https://photos.okolo.app/product/1170774-main/320x320.jpeg
Сосиски Великолукский МК сливочные, 585г;199.99;42;1 шт;343.69;https://photos.okolo.app/product/1170230-main/320x320.jpeg
Колбаса сырокопчёная Дым Дымычъ Премьера, 200г;203.99;0.0;1 шт;203.99;https://photos.okolo.app/product/1169656-main/320x320.jpeg
Колбаса варёная Стародворье Молочная вязаная, 500г;299.80;13;1 шт;344.77;https://photos.okolo.app/product/1169297-main/320x320.jpeg
Крылышки куриные Коптильный двор в/к;364.99;21;1 кг;459.99;https://photos.okolo.app/product/1168170-main/320x320.jpeg
Окорочок Коптильный Двор в/к;459.99;0.0;1 кг;459.99;https://photos.okolo.app/product/1168169-main/320x320.jpeg
Колбаса сырокопчёная Черкизово Преображенская, 300г;189.99;46;1 шт;349.99;https://photos.okolo.app/product/1165111-main/320x320.jpeg
Колбаса Атяшево Печеночная ливерная, 250г;52.49;0.0;1 шт;52.49;https://photos.okolo.app/product/1164795-main/320x320.jpeg
Колбаса сырокопчёная Черкизово Богородская, 300г;403.99;0.0;1 шт;403.99;https://photos.okolo.app/product/1164771-main/320x320.jpeg
Колбаса полукопчёная Новгородский Бекон Криковская, 300г;184.99;0.0;1 шт;184.99;https://photos.okolo.app/product/1164403-main/320x320.jpeg
