Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Горбуша 5 Морей натуральная 250г;222.99;0.0;1 шт;222.99;https://photos.okolo.app/product/1159168-main/320x320.jpeg
Помидоры Trattoria Di Maestro Turatti резаные, 400г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1212547-main/320x320.jpeg
Помидоры Trattoria Di Maestro Turatti протёртые, 500г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1212546-main/320x320.jpeg
Огурчики Дядя Ваня По-Берлински маринованные, 680г;239.99;0.0;1 шт;239.99;https://photos.okolo.app/product/1158806-main/320x320.jpeg
Фасоль Heinz в томатном соусе 415г;109.99;20;1 шт;136.99;https://photos.okolo.app/product/1157070-main/320x320.jpeg
Пюре ABC Яблочное стерилизованное 450г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1467800-main/320x320.jpeg
Манго Botanica дольки в сиропе 420г;169.99;15;1 шт;199.99;https://photos.okolo.app/product/1457087-main/320x320.jpeg
Каша Русь Походная перловая с говядиной 340г;39.99;0.0;1 шт;39.99;https://photos.okolo.app/product/1458079-main/320x320.jpeg
Капуста Традиции вкуса квашеная с морковью 250г;69.99;0.0;1 шт;69.99;https://photos.okolo.app/product/1449716-main/320x320.jpeg
Шпроты Красная цена в масле 160г;69.99;0.0;1 шт;69.99;https://photos.okolo.app/product/1447082-main/320x320.jpeg
Кукуруза Global Village Selection сахарная 340г;89.99;13;1 шт;103.49;https://photos.okolo.app/product/1440492-main/320x320.jpeg
Десерт Global Village из яблок с маракуйей 530г;124.99;11;1 шт;139.99;https://photos.okolo.app/product/1437517-main/320x320.jpeg
Перец Global Village Selection зеленый резаный маринованный 350г;119.99;14;1 шт;139.99;https://photos.okolo.app/product/1430462-main/320x320.jpeg
Тушенка Гастроном №1 говяжья 338г;159.99;14;1 шт;184.99;https://photos.okolo.app/product/1429177-main/320x320.jpeg
Паштет Мясная Ферма Индейка печеночный со вкусом мяса индейки 200г;119.99;0.0;1 шт;119.99;https://photos.okolo.app/product/1412657-main/320x320.jpeg
Паштет Мясная Ферма печеночный со вкусом гусиного мяса 200г;119.99;0.0;1 шт;119.99;https://photos.okolo.app/product/1412656-main/320x320.jpeg
Говядина Мясная Ферма тушеная высший сорт 338г;242.99;13;1 шт;279.44;https://photos.okolo.app/product/1429843-main/320x320.jpeg
Тушенка Гастроном №1 свиная 500г;159.99;0.0;1 шт;159.99;https://photos.okolo.app/product/1429176-main/320x320.jpeg
Тушенка Гастроном №1 говяжья 500г;199.99;0.0;1 шт;199.99;https://photos.okolo.app/product/1429175-main/320x320.jpeg
Ассорти Global Village из маринованных грибов 530г;149.99;12;1 шт;169.99;https://photos.okolo.app/product/1413020-main/320x320.jpeg
Консервы Global Village Selection Имам Баялды 450г;154.99;0.0;1 шт;154.99;https://photos.okolo.app/product/1413146-main/320x320.jpeg
Помидоры Trattoria di Maestro Turatti целые в томатном соусе 400г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1412878-main/320x320.jpeg
Индейка тушеная Мясная Ферма 325г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1398578-main/320x320.jpeg
Салат Рестория Шеф из свеклы 200г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1400432-main/320x320.jpeg
Корнишоны Скатерть-самобранка маринованные хрустящие 720мл;170.70;33;1 шт;252.99;https://photos.okolo.app/product/1439928-main/320x320.jpeg
Икра из баклажанов Сад и огород 545г;89.99;13;1 шт;103.49;https://photos.okolo.app/product/1398607-main/320x320.jpeg
Фасоль красная Global Village 400г;75.99;11;1 шт;84.99;https://photos.okolo.app/product/1354508-main/320x320.jpeg
Патиссоны Global Village маринованные 680г;152.99;13;1 шт;174.99;https://photos.okolo.app/product/1399526-main/320x320.jpeg
Горошек зеленый Global Village Select 520г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1398569-main/320x320.jpeg
Тушенка Гастроном №1 с говядиной 325г;55.99;30;1 шт;79.99;https://photos.okolo.app/product/1399460-main/320x320.jpeg
Тушенка Гастроном №1 со свининой 325г;55.99;30;1 шт;79.99;https://photos.okolo.app/product/1399459-main/320x320.jpeg
Говядина Мясная Ферма тушеная высший сорт 325г;269.99;0.0;1 шт;269.99;https://photos.okolo.app/product/1412971-main/320x320.jpeg
Свинина тушеная Мясная Ферма 325г;219.99;0.0;1 шт;219.99;https://photos.okolo.app/product/1216922-main/320x320.jpeg
Маслины Global Village selection без косточки 160г;79.99;0.0;1 шт;79.99;https://photos.okolo.app/product/1429914-main/320x320.jpeg
Салат Рестория Шеф спаржа по-корейски 200г;114.99;0.0;1 шт;114.99;https://photos.okolo.app/product/1212232-main/320x320.jpeg
Салат Рестория Шеф Морковь по-корейски, 400г;75.99;11;1 шт;84.99;https://photos.okolo.app/product/1212231-main/320x320.jpeg
Салат Рестория Шеф морковь пикантная со спаржей 400г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1212230-main/320x320.jpeg
Салат Рестория Шеф морковь по-корейски 200г;54.99;0.0;1 шт;54.99;https://photos.okolo.app/product/1212229-main/320x320.jpeg
Окорок Мясная ферма по-домашнему 325г;159.99;0.0;1 шт;159.99;https://photos.okolo.app/product/1216273-main/320x320.jpeg
Печень трески Капитан Норд 115г;169.99;0.0;1 шт;169.99;https://photos.okolo.app/product/1212173-main/320x320.jpeg
Сельдь Fish House атлантическая натуральная c добавлением масла, 245г;75.99;16;1 шт;89.99;https://photos.okolo.app/product/1212172-main/320x320.jpeg
Хумус РЕСТОРИЯ ШЕФ Классический 200г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1211299-main/320x320.jpeg
Сардина Fish House с овощным гарниром в томатном соусе 240г;80.99;13;1 шт;93.14;https://photos.okolo.app/product/1211238-main/320x320.jpeg
Скумбрия Fish House атлантическая кусочки в томатном соусе, 240г;84.99;15;1 шт;99.99;https://photos.okolo.app/product/1211209-main/320x320.jpeg
Ананасы Global Village Selection в легком сиропе кусочки 580мл;199.99;0.0;1 шт;199.99;https://photos.okolo.app/product/1423141-main/320x320.jpeg
Ананасы Global Village Selection в легком сиропе кольца 580мл;209.99;0.0;1 шт;209.99;https://photos.okolo.app/product/1423003-main/320x320.jpeg
Бычки Fish House обжаренные в томатном соусе, 240г;109.99;12;1 шт;124.99;https://photos.okolo.app/product/1211142-main/320x320.jpeg
Шпроты Fish House из салаки в масле, 240г;87.72;35;1 шт;134.99;https://photos.okolo.app/product/1211131-main/320x320.jpeg
Скумбрия Fish House атлантическая натуральная с добавлением масла, 240г;85.99;10;1 шт;95.99;https://photos.okolo.app/product/1211093-main/320x320.jpeg
Салат Fish House из морской капусты с кальмаром в майонезе, 250г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1210297-main/320x320.jpeg
Салат Fish House Чука 180г;119.99;0.0;1 шт;119.99;https://photos.okolo.app/product/1209920-main/320x320.jpeg
Сардина Fish House атлантическая в томатном соусе 250г;89.99;13;1 шт;103.49;https://photos.okolo.app/product/1209860-main/320x320.jpeg
Закуска Global Village аппетитка 520г;94.99;0.0;1 шт;94.99;https://photos.okolo.app/product/1209298-main/320x320.jpeg
Лобио Global Village, 530г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1209297-main/320x320.jpeg
Закуска Global Village Венгерская, 480г;94.99;0.0;1 шт;94.99;https://photos.okolo.app/product/1209296-main/320x320.jpeg
Консервы овощные Global Village Мангал-салат, 450г;154.99;0.0;1 шт;154.99;https://photos.okolo.app/product/1209290-main/320x320.jpeg
Томаты вяленые Trattoria di maestro Turatti 190г;179.99;0.0;1 шт;179.99;https://photos.okolo.app/product/1208653-main/320x320.jpeg
Фасоль красная Global Village в томатном соусе 425мл;69.99;13;1 шт;79.99;https://photos.okolo.app/product/1208601-main/320x320.jpeg
Сардина Fish House Иваси тихоокеанская натуральная, 245г;69.99;22;1 шт;89.99;https://photos.okolo.app/product/1208346-main/320x320.jpeg
Томаты Botanica целые очищенные в собственном соку 425мл;79.99;27;1 шт;109.99;https://photos.okolo.app/product/1459720-main/320x320.jpeg
Кукуруза Global Village Selection сладкая, 340г;79.99;11;1 шт;89.99;https://photos.okolo.app/product/1207588-main/320x320.jpeg
Горошек Global Village Selection зеленый, 400г;79.99;11;1 шт;89.99;https://photos.okolo.app/product/1207543-main/320x320.jpeg
Тунец рубленый Красная Цена филе в собственном соку 185г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1207112-main/320x320.jpeg
Килька Вкусные Консервы черноморская неразделанная обжаренная в томатном соусе, 240г;59.99;33;1 шт;89.99;https://photos.okolo.app/product/1206928-main/320x320.jpeg
Лимон с имбирем и сахаром протертый 200г;69.99;0.0;1 шт;69.99;https://photos.okolo.app/product/1205098-main/320x320.jpeg
Десерт Сила традиции Манго 2х100г;119.99;0.0;1 шт;119.99;https://photos.okolo.app/product/1204395-main/320x320.jpeg
Десерт Сила Традиций клубника 2х100г;119.99;0.0;1 шт;119.99;https://photos.okolo.app/product/1204393-main/320x320.jpeg
Томаты вяленые 100г;129.99;0.0;1 шт;129.99;https://photos.okolo.app/product/1204389-main/320x320.jpeg
Говядина Гастроном №1 тушёная, 338г;129.99;0.0;1 шт;129.99;https://photos.okolo.app/product/1203366-main/320x320.jpeg
Свинина тушеная Гастроном №1 высший сорт 338г;109.99;0.0;1 шт;109.99;https://photos.okolo.app/product/1203363-main/320x320.jpeg
Томаты Красная цена Маринованные 680г;75.99;0.0;1 шт;75.99;https://photos.okolo.app/product/1203276-main/320x320.jpeg
Лечо Global Village, 520г;98.99;13;1 шт;113.84;https://photos.okolo.app/product/1202962-main/320x320.jpeg
Горошек зеленый Красная цена 425мл;36.19;0.0;1 шт;36.19;https://photos.okolo.app/product/1202961-main/320x320.jpeg
Ананасы Global Village кусочки в сиропе, 580мл;139.99;13;1 шт;159.99;https://photos.okolo.app/product/1201948-main/320x320.jpeg
Ветчина Совок из свинины классическая 325г;269.99;0.0;1 шт;269.99;https://photos.okolo.app/product/1201584-main/320x320.jpeg
Каша Сохраним традиции гречневая с говядиной 325г;129.99;0.0;1 шт;129.99;https://photos.okolo.app/product/1393170-main/320x320.jpeg
Кукуруза Красная цена сахарная зерновая 425г;39.99;0.0;1 шт;39.99;https://photos.okolo.app/product/1200427-main/320x320.jpeg
Паштет Hame Деликатесный с гусиной печенью 105г;70.49;0.0;1 шт;70.49;https://photos.okolo.app/product/1196798-main/320x320.jpeg
Салат Fish House морская капуста с крабовым мясом, 400г;109.99;0.0;1 шт;109.99;https://photos.okolo.app/product/1196071-main/320x320.jpeg
Тушёнка из говядины Главпродукт Сельская кусковая, 340г;30.99;0.0;1 шт;30.99;https://photos.okolo.app/product/1195949-main/320x320.jpeg
Грибы Global Village грузди солёные стерилизованные, 530г;177.09;0.0;1 шт;177.09;https://photos.okolo.app/product/1195369-main/320x320.jpeg
Тунец Fish House рубленый в собственном соку, 185г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1193582-main/320x320.jpeg
Икра из кабачков Global Village, 520г;71.99;13;1 шт;82.79;https://photos.okolo.app/product/1193489-main/320x320.jpeg
Икра из баклажанов Global Village 520г;94.99;0.0;1 шт;94.99;https://photos.okolo.app/product/1193488-main/320x320.jpeg
Кукуруза Bonduelle Classique сладкая, 340г;114.99;18;1 шт;139.99;https://photos.okolo.app/product/1157176-main/320x320.jpeg
Огурцы корнишоны Черри Global Village солёные, 500г;79.99;33;1 шт;119.99;https://photos.okolo.app/product/1191607-main/320x320.jpeg
Томаты Global Village черри соленые красные 500г;129.99;0.0;1 шт;129.99;https://photos.okolo.app/product/1191606-main/320x320.jpeg
Ветчина Великолукский мясокомбинат из свинины 325г;129.99;35;1 шт;198.99;https://photos.okolo.app/product/1189804-main/320x320.jpeg
Свинина Великолукский МК тушёная ГОСТ, 325г;239.99;0.0;1 шт;239.99;https://photos.okolo.app/product/1189802-main/320x320.jpeg
Капуста ФЭГ маринованная с болгарским перцем 500г;104.99;0.0;1 шт;104.99;https://photos.okolo.app/product/1187465-main/320x320.jpeg
Малина протертая с сахаром 200г;119.99;0.0;1 шт;119.99;https://photos.okolo.app/product/1186887-main/320x320.jpeg
Клюква Сварог протертая с сахаром 200г;119.99;0.0;1 шт;119.99;https://photos.okolo.app/product/1186886-main/320x320.jpeg
Кукуруза Bonduelle молодая сладкая, 340г;149.99;0.0;1 шт;149.99;https://photos.okolo.app/product/1185340-main/320x320.jpeg
Салат Красная Цена Дальневосточный из морской капусты 220г;39.99;0.0;1 шт;39.99;https://photos.okolo.app/product/1185325-main/320x320.jpeg
Скумбрия Красная Цена с добавлением масла 240г;63.49;0.0;1 шт;63.49;https://photos.okolo.app/product/1183603-main/320x320.jpeg
Сардина Красная цена натуральная с добавлением масла 240 г;67.19;0.0;1 шт;67.19;https://photos.okolo.app/product/1183602-main/320x320.jpeg
Сайра Красная цена натуральная 240 г;112.99;0.0;1 шт;112.99;https://photos.okolo.app/product/1183600-main/320x320.jpeg
Огурцы Global Village солёные, 400г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1183186-main/320x320.jpeg
Килька Красная Цена в томатном соусе 240г;33.99;0.0;1 шт;33.99;https://photos.okolo.app/product/1183073-main/320x320.jpeg
Горбуша Красная цена натуральная 240 г;92.99;0.0;1 шт;92.99;https://photos.okolo.app/product/1183070-main/320x320.jpeg
Огурцы соленые Красная цена 1 кг;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1183059-main/320x320.jpeg
Капуста квашеная Красная цена по-деревенски 500г;104.99;0.0;1 шт;104.99;https://photos.okolo.app/product/1183058-main/320x320.jpeg
Хренодёр Global Village классический упаковка в ассортименте 200г;49.99;29;1 шт;69.99;https://photos.okolo.app/product/1183056-main/320x320.jpeg
Томаты Global Village солёные красные 1кг;79.99;0.0;1 шт;79.99;https://photos.okolo.app/product/1183055-main/320x320.jpeg
Капуста квашеная Global Village с морковью, 700г;89.99;31;1 шт;129.99;https://photos.okolo.app/product/1183046-main/320x320.jpeg
Капуста Global Village квашенная с клюквой 500г;94.99;0.0;1 шт;94.99;https://photos.okolo.app/product/1183045-main/320x320.jpeg
Капуста Global Village квашеная крупная По-деревенски 900 г;159.99;0.0;1 шт;159.99;https://photos.okolo.app/product/1183044-main/320x320.jpeg
Имбирь Global Village маринованный 250г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1183043-main/320x320.jpeg
Паштет Гастроном №1 печеночный с зеленью 90 г;25.99;13;1 шт;29.99;https://photos.okolo.app/product/1179626-main/320x320.jpeg
Паштет Гастроном Нежный из куриного мяса, 90г;25.99;13;1 шт;29.99;https://photos.okolo.app/product/1179625-main/320x320.jpeg
Горбуша Знак Качества натуральная, 245г;115.99;32;1 шт;169.99;https://photos.okolo.app/product/1179578-main/320x320.jpeg
Голубцы Гастроном №1 фаршированные мясом и рисом, 525г;109.99;15;1 шт;128.99;https://photos.okolo.app/product/1179387-main/320x320.jpeg
Икра Дядя Ваня из кабачков, 460г;79.99;24;1 шт;104.99;https://photos.okolo.app/product/1176536-main/320x320.jpeg
Говядина Семейный Бюджет тушёная ГОСТ, 500г;199.99;23;1 шт;259.99;https://photos.okolo.app/product/1175606-main/320x320.jpeg
Салат Грин Крест охотничий с копчёной колбаской, 300г;134.99;0.0;1 шт;134.99;https://photos.okolo.app/product/1175222-main/320x320.jpeg
Салат Грин Крест Баварский с ветчиной 300г;154.99;0.0;1 шт;154.99;https://photos.okolo.app/product/1175220-main/320x320.jpeg
Шпроты Вкусные консервы в масле 160г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1175100-main/320x320.jpeg
Шпроты Вкусные Консервы крупные в масле, 240г;119.99;31;1 шт;173.99;https://photos.okolo.app/product/1174405-main/320x320.jpeg
Свинина Совок тушёная высший сорт, 325г;199.99;28;1 шт;275.99;https://photos.okolo.app/product/1174007-main/320x320.jpeg
Говядина Совок тушёная высший сорт, 325г;314.99;0.0;1 шт;314.99;https://photos.okolo.app/product/1174006-main/320x320.jpeg
Сайра Доброфлот натуральная в масле, 245г;262.99;0.0;1 шт;262.99;https://photos.okolo.app/product/1173254-main/320x320.jpeg
Оливки Global Village без косточки, 300г;89.99;13;1 шт;103.49;https://photos.okolo.app/product/1172790-main/320x320.jpeg
Аджика Фабрика Домашних Солений Жгучая, 400г;98.49;0.0;1 шт;98.49;https://photos.okolo.app/product/1172533-main/320x320.jpeg
Чеснок Фабрика Домашних Солений дольки маринованный, 300г;149.99;0.0;1 шт;149.99;https://photos.okolo.app/product/1172532-main/320x320.jpeg
Оливки Global Village с креветкой 300г;93.99;10;1 шт;104.99;https://photos.okolo.app/product/1171832-main/320x320.jpeg
Томаты Global Village маринованные, 680г;93.99;10;1 шт;104.99;https://photos.okolo.app/product/1171742-main/320x320.jpeg
Шампиньоны Global Village целые маринованные стерилизованные, 480 г;169.99;11;1 шт;189.99;https://photos.okolo.app/product/1171704-main/320x320.jpeg
Шампиньоны Global Village резаные, 400г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1171567-main/320x320.jpeg
Огурцы соленые Global Village 680г;134.99;0.0;1 шт;134.99;https://photos.okolo.app/product/1170694-main/320x320.jpeg
Сайра Fish House тихоокеанская натуральная, 240г;169.99;11;1 шт;189.99;https://photos.okolo.app/product/1170633-main/320x320.jpeg
Горбуша Fish House натуральная, 245г;134.54;0.0;1 шт;134.54;https://photos.okolo.app/product/1170413-main/320x320.jpeg
Шпроты Fish House из балтийской кильки в масле, 160г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1170072-main/320x320.jpeg
Фасоль Красная цена белая в томатном соусе 360 г;41.99;0.0;1 шт;41.99;https://photos.okolo.app/product/1169833-main/320x320.jpeg
Фасоль Красная Цена красная в собственном соку 360 г;36.99;0.0;1 шт;36.99;https://photos.okolo.app/product/1169832-main/320x320.jpeg
Фасоль Global Village с овощами в томатном соусе, 530 г;99.99;13;1 шт;114.99;https://photos.okolo.app/product/1169209-main/320x320.jpeg
Салат Fish House Дальневосточный из морской капусты, 250г;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1168783-main/320x320.jpeg
Шампиньоны Красная Цена резаные 425мл;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1168664-main/320x320.jpeg
