Название	Цена	Размер скидки	Мера веса/объема/цена за указанную меру	Старая цена	Ссылка на картинку
Сыр Hochland Сливочный плавленый 55% 400г	302.99	0.0	1 шт	302.99	https://photos.okolo.app/product/1159125-main/320x320.jpeg
Сыр Hochland С ветчиной плавленный 55% 400г	302.99	0.0	1 шт	302.99	https://photos.okolo.app/product/1159124-main/320x320.jpeg
Айран Лесная Сказка Актив 1%, 500мл	43.99	0.0	1 шт	43.99	https://photos.okolo.app/product/1235372-main/320x320.jpeg
Творожный продукт Даниссимо с шоколадом 6.7% 130г	67.99	0.0	1 шт	67.99	https://photos.okolo.app/product/1158968-main/320x320.jpeg
Сыр Liebendorf эдам	779.99	0.0	1 кг	779.99	https://photos.okolo.app/product/1212655-main/320x320.jpeg
Сыр Liebendorf маасдам	859.99	0.0	1 кг	859.99	https://photos.okolo.app/product/1212654-main/320x320.jpeg
Сыр Liebendorf тильзитер 45%	799.99	0.0	1 кг	799.99	https://photos.okolo.app/product/1212653-main/320x320.jpeg
Сыр Ламбер 50%	849.99	0.0	1 кг	849.99	https://photos.okolo.app/product/1212587-main/320x320.jpeg
Сливки Campina для кофе 10% 10х10г	36.49	0.0	1 шт	36.49	https://photos.okolo.app/product/1158750-main/320x320.jpeg
Маргарин сливочный Хозяюшка Нижегородский 60%, 200г	56.49	0.0	1 шт	56.49	https://photos.okolo.app/product/1158565-main/320x320.jpeg
Пирожное Kinder Maxi King орехи и Карамель 35г	93.49	0.0	1 шт	93.49	https://photos.okolo.app/product/1158456-main/320x320.jpeg
Пирожное Kinder Pingui шоколад 30г	59.99	0.0	1 шт	59.99	https://photos.okolo.app/product/1158455-main/320x320.jpeg
Пирожное Kinder молочный ломтик 28г	39.49	0.0	1 шт	39.49	https://photos.okolo.app/product/1158454-main/320x320.jpeg
Сыр Hochland С ветчиной плавленый 55% 200г	175.99	0.0	1 шт	175.99	https://photos.okolo.app/product/1157208-main/320x320.jpeg
Продукт творожный Даниссимо черника 5.5% 130г	67.99	0.0	1 шт	67.99	https://photos.okolo.app/product/1158357-main/320x320.jpeg
Коктейль молочный Чудо Клубника 2%, 200мл	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1158194-main/320x320.jpeg
Сливки Домик в деревне стерилизованные 10% 480г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1158187-main/320x320.jpeg
Сливки стерилизованные Домик в деревне 10%, 200мл	59.99	0.0	1 шт	59.99	https://photos.okolo.app/product/1158185-main/320x320.jpeg
Яйцо куриное Роскар Экстра СО 10шт.	106.99	0.0	1 шт	106.99	https://photos.okolo.app/product/1158174-main/320x320.jpeg
Коктейль молочный Чудо Шоколад 3% 216мл	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1158133-main/320x320.jpeg
