Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Цыпленок Петелинка охлажденный;193.99;0.0;1 кг;193.99;https://photos.okolo.app/product/1159095-main/320x320.jpeg
Колбаса Папа Может Охотничья сырокопченая полусухая 100г;69.99;0.0;1 шт;69.99;https://photos.okolo.app/product/1467771-main/320x320.jpeg
Колбаса Добрая мясная история Вареная 500г;219.99;0.0;1 шт;219.99;https://photos.okolo.app/product/1466801-main/320x320.jpeg
Филе индейки Рестория малое 500г;289.99;0.0;1 шт;289.99;https://photos.okolo.app/product/1463034-main/320x320.jpeg
Желудки цыплят Приосколье Мышечные замороженные 834г;169.99;0.0;1 шт;169.99;https://photos.okolo.app/product/1465794-main/320x320.jpeg
Окорок свиной бескостный охлажденный;264.99;15;1 кг;309.99;https://photos.okolo.app/product/1458171-main/320x320.jpeg
Лопатка свиная бескостная охлажденная;249.99;17;1 кг;299.99;https://photos.okolo.app/product/1458170-main/320x320.jpeg
Колбаса Стародворье Царедворская вареная 400г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1458790-main/320x320.jpeg
Лопатка Мясо есть! говяжья без кости охлаждённая 350г;314.99;0.0;1 шт;314.99;https://photos.okolo.app/product/1456774-main/320x320.jpeg
Стейк говяжий Мясо есть! Раунд охлажденный 200г;219.99;19;1 шт;269.99;https://photos.okolo.app/product/1451034-main/320x320.jpeg
Салями ВладПродукт по-деревенски п/к 300г;80.99;19;1 шт;99.99;https://photos.okolo.app/product/1450086-main/320x320.jpeg
Бедро цыпленка Северная ПФ бескостное без кожи охлажденное 700г;229.99;23;1 шт;299.99;https://photos.okolo.app/product/1447338-main/320x320.jpeg
Голень цыпленка Приосколье охлажденное 900г;177.99;0.0;1 шт;177.99;https://photos.okolo.app/product/1440768-main/320x320.jpeg
Филе грудки цб Приосколье без кожи охлажденное 834г;209.99;0.0;1 шт;209.99;https://photos.okolo.app/product/1440767-main/320x320.jpeg
Бедро цб Приосколье с кожей охлажденное 834г;134.99;0.0;1 шт;134.99;https://photos.okolo.app/product/1440766-main/320x320.jpeg
Шинка Иней Пряная из свинины копчено-вареная 150г;172.99;0.0;1 шт;172.99;https://photos.okolo.app/product/1439202-main/320x320.jpeg
Шейка Иней из свинины копчено-вареная 150г;252.99;0.0;1 шт;252.99;https://photos.okolo.app/product/1439201-main/320x320.jpeg
Бекон Коптильный двор из свинины с/к 350г;229.99;0.0;1 шт;229.99;https://photos.okolo.app/product/1437671-main/320x320.jpeg
Колбаса Красная цена Классическая вареная 1кг;104.99;0.0;1 шт;104.99;https://photos.okolo.app/product/1437634-main/320x320.jpeg
Набор суповой Мясной Стандарт говяжий замороженный;119.99;0.0;1 кг;119.99;https://photos.okolo.app/product/1430034-main/320x320.jpeg
Грудинка Коптильный двор из свинины к/в 150г;119.99;14;1 шт;139.99;https://photos.okolo.app/product/1430018-main/320x320.jpeg
Котлеты Красная цена куриные охлажденные 480г;129.99;0.0;1 шт;129.99;https://photos.okolo.app/product/1428710-main/320x320.jpeg
Бекон Ближние горки для жарки из свинины 260г;126.99;0.0;1 шт;126.99;https://photos.okolo.app/product/1397719-main/320x320.jpeg
Фарш Рестория свиной 400г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1397692-main/320x320.jpeg
Стейк Рестория свиной на кости 400г;149.99;21;1 шт;189.99;https://photos.okolo.app/product/1216918-main/320x320.jpeg
Колбаса Красная Цена Ароматная с/к 300г;109.99;0.0;1 шт;109.99;https://photos.okolo.app/product/1212456-main/320x320.jpeg
Ассорти колбасок Самсон Grillbox 400г;189.99;21;1 шт;239.99;https://photos.okolo.app/product/1212340-main/320x320.jpeg
Котлеты Ярославский бройлер Питерские 480г;109.99;31;1 шт;159.99;https://photos.okolo.app/product/1209883-main/320x320.jpeg
Бекон сырокопчёный Останкино категория Б, 180г;149.99;38;1 шт;239.99;https://photos.okolo.app/product/1209163-main/320x320.jpeg
Салями сырокопчёная Мясная Ферма полусухая, 150г;149.99;0.0;1 шт;149.99;https://photos.okolo.app/product/1208681-main/320x320.jpeg
Цыплята табака Рококо в обсыпке охлажденное;314.99;0.0;1 кг;314.99;https://photos.okolo.app/product/1240689-main/320x320.jpeg
