Название	Цена	Размер скидки	Мера веса/объема/цена за указанную меру	Старая цена	Ссылка на картинку
Слива сезонная	79.99	0.0	1 кг	79.99	https://photos.okolo.app/product/1157307-main/320x320.jpeg
Свекла	13.99	0.0	1 кг	13.99	https://photos.okolo.app/product/1159192-main/320x320.jpeg
Семечки Бабкины Семечки жареные, 300г	128.99	0.0	1 шт	128.99	https://photos.okolo.app/product/1159116-main/320x320.jpeg
Бананы	53.99	0.0	1 кг	53.99	https://photos.okolo.app/product/1157089-main/320x320.jpeg
Виноград Киш-миш	84.99	0.0	1 кг	84.99	https://photos.okolo.app/product/1159008-main/320x320.jpeg
Виноград Дамский пальчик	119.99	14	1 кг	139.99	https://photos.okolo.app/product/1159005-main/320x320.jpeg
Гранат	199.99	0.0	1 кг	199.99	https://photos.okolo.app/product/1158997-main/320x320.jpeg
Тыква в ассортименте	49.99	13	1 кг	57.49	https://photos.okolo.app/product/1158989-main/320x320.jpeg
Апельсины Global Village отборные	129.99	0.0	1 кг	129.99	https://photos.okolo.app/product/1158981-main/320x320.jpeg
Киви	99.99	32	1 кг	147.99	https://photos.okolo.app/product/1158979-main/320x320.jpeg
Редис красный, 500г	66.99	0.0	1 шт	66.99	https://photos.okolo.app/product/1212524-main/320x320.jpeg
Кинза 100г упаковка	54.99	0.0	1 шт	54.99	https://photos.okolo.app/product/1158942-main/320x320.jpeg
Салат Листовой в горшочке 1шт.	49.99	16	1 шт	59.49	https://photos.okolo.app/product/1158941-main/320x320.jpeg
Яблоки Медовый хруст	79.99	0.0	1 кг	79.99	https://photos.okolo.app/product/1158901-main/320x320.jpeg
Изюм светлый	299.99	0.0	1 кг	299.99	https://photos.okolo.app/product/1158839-main/320x320.jpeg
Укроп Global Village, 100г	54.99	0.0	1 шт	54.99	https://photos.okolo.app/product/1158801-main/320x320.jpeg
Томаты сливовидные красные	89.99	0.0	1 кг	89.99	https://photos.okolo.app/product/1158728-main/320x320.jpeg
Яблоко Global Village красное	99.99	0.0	1 кг	99.99	https://photos.okolo.app/product/1157080-main/320x320.jpeg
Апельсины	99.99	0.0	1 кг	99.99	https://photos.okolo.app/product/1158597-main/320x320.jpeg
Яблоки Гренни Смит	99.99	0.0	1 кг	99.99	https://photos.okolo.app/product/1157230-main/320x320.jpeg
Чеснок	199.99	0.0	1 кг	199.99	https://photos.okolo.app/product/1158447-main/320x320.jpeg
Мандарины Global Village отборные	186.99	0.0	1 кг	186.99	https://photos.okolo.app/product/1158445-main/320x320.jpeg
Орех Арахис жареный соленый	499.99	0.0	1 кг	499.99	https://photos.okolo.app/product/1158433-main/320x320.jpeg
Айва	133.99	0.0	1 кг	133.99	https://photos.okolo.app/product/1158390-main/320x320.jpeg
Ананасы	109.99	0.0	1 кг	109.99	https://photos.okolo.app/product/1158361-main/320x320.jpeg
Капуста Китайская	99.99	0.0	1 кг	99.99	https://photos.okolo.app/product/1158325-main/320x320.jpeg
Имбирь	369.99	0.0	1 кг	369.99	https://photos.okolo.app/product/1158324-main/320x320.jpeg
Укроп Global Village, 30г	34.99	13	1 шт	39.99	https://photos.okolo.app/product/1158323-main/320x320.jpeg
Петрушка Global Village, 30г	34.99	13	1 шт	39.99	https://photos.okolo.app/product/1158322-main/320x320.jpeg
Кинза Global Village, 30г	34.99	30	1 шт	49.99	https://photos.okolo.app/product/1158321-main/320x320.jpeg
Виноград Тайфи	59.99	13	1 кг	68.99	https://photos.okolo.app/product/1158314-main/320x320.jpeg
Капуста Брокколи	349.99	0.0	1 кг	349.99	https://photos.okolo.app/product/1158313-main/320x320.jpeg
Яблоки Роял Гала	79.99	20	1 кг	99.99	https://photos.okolo.app/product/1158310-main/320x320.jpeg
Кукуруза сахарная в початках вареная 1уп.	119.99	0.0	1 шт	119.99	https://photos.okolo.app/product/1158304-main/320x320.jpeg
Яблоки Голден	89.99	24	1 кг	118.99	https://photos.okolo.app/product/1158298-main/320x320.jpeg
Мандарины	99.99	13	1 кг	114.99	https://photos.okolo.app/product/1158272-main/320x320.jpeg
Виноград Красный	109.99	0.0	1 кг	109.99	https://photos.okolo.app/product/1158270-main/320x320.jpeg
Баклажан	224.99	0.0	1 кг	224.99	https://photos.okolo.app/product/1158214-main/320x320.jpeg
Перец красный сладкий	199.99	0.0	1 кг	199.99	https://photos.okolo.app/product/1158149-main/320x320.jpeg
Авокадо Artfruit Хасс 1шт	89.99	0.0	1 шт	89.99	https://photos.okolo.app/product/1459151-main/320x320.jpeg
Баклажаны грунтовые	70.99	0.0	1 кг	70.99	https://photos.okolo.app/product/1450693-main/320x320.jpeg
Капуста Традиции вкуса квашеная с морковью 250г	69.99	0.0	1 шт	69.99	https://photos.okolo.app/product/1449716-main/320x320.jpeg
Семечки тыквенные От Мартина обжаренные неочищенные без соли 100г	159.99	0.0	1 шт	159.99	https://photos.okolo.app/product/1445625-main/320x320.jpeg
Ядра подсолнечника Mixbar жареные 70г	29.99	25	1 шт	39.99	https://photos.okolo.app/product/1449468-main/320x320.jpeg
Семена Don Semi подсолнечника натуральные 500г	89.99	0.0	1 шт	89.99	https://photos.okolo.app/product/1447588-main/320x320.jpeg
