Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Творог Простоквашино 5% 200г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1211929-main/320x320.jpeg
Творог Простоквашино 2% 200г;94.99;0.0;1 шт;94.99;https://photos.okolo.app/product/1211928-main/320x320.jpeg
Сметана Простоквашино 20% 300г;79.90;17;1 шт;95.99;https://photos.okolo.app/product/1211927-main/320x320.jpeg
Сметана Простоквашино 25% 300г;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1211926-main/320x320.jpeg
Сметана Простоквашино 15% 300г;62.99;0.0;1 шт;62.99;https://photos.okolo.app/product/1211925-main/320x320.jpeg
Сырок глазированный Простоквашино с вареной сгущенкой 23% 40г;44.19;0.0;1 шт;44.19;https://photos.okolo.app/product/1210302-main/320x320.jpeg
Сырок глазированный Простоквашино ванильный 23% 40г;44.19;0.0;1 шт;44.19;https://photos.okolo.app/product/1210299-main/320x320.jpeg
Молоко Простоквашино цельное отборное питьевое пастеризованное 3.4-4.5% 1.5л;124.99;0.0;1 шт;124.99;https://photos.okolo.app/product/1203411-main/320x320.jpeg
Кефир Простоквашино коктейль с Клубникой обезжиренный 900г;81.99;16;1 шт;97.99;https://photos.okolo.app/product/1199742-main/320x320.jpeg
Кефир Простоквашино 1% 930 г;74.99;0.0;1 шт;74.99;https://photos.okolo.app/product/1166461-main/320x320.jpeg
Сливки Простоквашино 20% 350 мл;189.99;0.0;1 шт;189.99;https://photos.okolo.app/product/1161576-main/320x320.jpeg
Сливки Простоквашино ультрапастеризованные 10% 350г;129.99;0.0;1 шт;129.99;https://photos.okolo.app/product/1161575-main/320x320.jpeg
