Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Треугольники рыбные Polar в панировке 300г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1470634-main/320x320.jpeg
Сельдь Fish House в укропном соусе филе-кусочки 400г;179.99;0.0;1 шт;179.99;https://photos.okolo.app/product/1471143-main/320x320.jpeg
Сельдь Fish House слабосоленая филе-кусочки в масле 400г;179.99;0.0;1 шт;179.99;https://photos.okolo.app/product/1471144-main/320x320.jpeg
Скумбрия Kingfish слабосоленая кусочки 250г;114.99;32;1 шт;169.99;https://photos.okolo.app/product/1472110-main/320x320.jpeg
Котлеты Мурманфиш Мурманские из пикши с овощами брокколи 300г;129.99;0.0;1 шт;129.99;https://photos.okolo.app/product/1441177-main/320x320.jpeg
Икра лососевая структурированная 120г;149.99;25;1 шт;199.99;https://photos.okolo.app/product/1437928-main/320x320.jpeg
Креветки Красная Цена неразделанные в/м;399.99;13;1 кг;459.99;https://photos.okolo.app/product/1435286-main/320x320.jpeg
Горбуша Капитан Норд стейк с кожей мороженая;599.99;0.0;1 кг;599.99;https://photos.okolo.app/product/1439088-main/320x320.jpeg
Килька Балтийский Берег каспийская неразделанная пряного посола 400г;69.99;30;1 шт;99.99;https://photos.okolo.app/product/1414024-main/320x320.jpeg
Икра имитированная Fish House со вкусом лососевой икры с кремом 200г;49.99;0.0;1 шт;49.99;https://photos.okolo.app/product/1439467-main/320x320.jpeg
Икра имитированная Fish House красная со вкусом лососевой икры 220г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1439465-main/320x320.jpeg
Сельдь Балтийский Берег Оливковая филе-кусочки слабосолёная в масле, 400г;258.99;0.0;1 шт;258.99;https://photos.okolo.app/product/1211986-main/320x320.jpeg
Крабовые палочки Vici Снежный Краб с мясом натурального краба пастеризованные, 170г;219.99;0.0;1 шт;219.99;https://photos.okolo.app/product/1210867-main/320x320.jpeg
Салака Петротрал горячего копчения 300г;123.99;0.0;1 шт;123.99;https://photos.okolo.app/product/1372602-main/320x320.jpeg
Треска Fish House тихоокеанская филе без кожи замороженная, 400г;349.99;0.0;1 шт;349.99;https://photos.okolo.app/product/1209521-main/320x320.jpeg
Икра трески атлантической Fish House стерилизованная, 185г;134.99;0.0;1 шт;134.99;https://photos.okolo.app/product/1206411-main/320x320.jpeg
Икра Fish House слабосолёная в соусе с ароматом копчения, 180г;99.99;29;1 шт;139.99;https://photos.okolo.app/product/1206285-main/320x320.jpeg
Кальмар Балтийский Берег гигантский рубленый варёный в классическом соусе, 150г;69.99;42;1 шт;119.99;https://photos.okolo.app/product/1203784-main/320x320.jpeg
Кальмар Балтийский Берег рубленый в сливочном соусе с креветкой, 150г;69.99;42;1 шт;119.99;https://photos.okolo.app/product/1203774-main/320x320.jpeg
