Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Печенье Юбилейное Традиционное витаминизированное 268г;64.90;28;1 шт;89.99;https://photos.okolo.app/product/1435426-main/320x320.jpeg
Шоколад Milka Клубника со сливками молочный 85г;104.99;0.0;1 шт;104.99;https://photos.okolo.app/product/1440741-main/320x320.jpeg
Шоколад молочный Milka 85г;69.99;0.0;1 шт;69.99;https://photos.okolo.app/product/1210436-main/320x320.jpeg
Шоколад Milka Bubbles молочный пористый c кокосовой начинкой 92г;69.99;0.0;1 шт;69.99;https://photos.okolo.app/product/1210435-main/320x320.jpeg
Шоколад Milka молочный с цельным фундуком 85г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1210434-main/320x320.jpeg
Шоколад белый Alpen Gold с миндалём и кокосовой стружкой 85г;54.99;0.0;1 шт;54.99;https://photos.okolo.app/product/1204757-main/320x320.jpeg
Шоколад Alpen Gold молочный с клубнично-йогуртовой начинкой 85г;54.99;0.0;1 шт;54.99;https://photos.okolo.app/product/1204755-main/320x320.jpeg
Шоколад Alpen Gold молочный с чернично-йогуртовой начинкой 85г;54.99;0.0;1 шт;54.99;https://photos.okolo.app/product/1204749-main/320x320.jpeg
Шоколад Alpen Gold молочный с фундуком 85г;54.99;0.0;1 шт;54.99;https://photos.okolo.app/product/1204746-main/320x320.jpeg
Шоколад молочный Alpen Gold с фундуком и изюмом 85г;54.99;0.0;1 шт;54.99;https://photos.okolo.app/product/1204739-main/320x320.jpeg
Шоколад молочный Alpen Gold 85г;54.99;0.0;1 шт;54.99;https://photos.okolo.app/product/1204710-main/320x320.jpeg
Шоколад Milka с молочной и карамельными начинками и обжаренным цельным фундуком молочный 300г;349.99;0.0;1 шт;349.99;https://photos.okolo.app/product/1190456-main/320x320.jpeg
Шоколад молочный Milka с начинкой со вкусом ванили и печеньем Орео, 92г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1190363-main/320x320.jpeg
Пироженое Барни клубника 150 г;92.19;0.0;1 шт;92.19;https://photos.okolo.app/product/1189921-main/320x320.jpeg
Жевательная резинка Dirol White Мята 13.6г;29.99;17;1 шт;35.99;https://photos.okolo.app/product/1184757-main/320x320.jpeg
Печенье Belvita Утреннее витаминизированное со злаковыми хлопьями, 225г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1183138-main/320x320.jpeg
Жевательная резинка Dirol Colors XXL ассорти фруктовых вкусов без сахара 19г;39.99;33;1 шт;59.99;https://photos.okolo.app/product/1180040-main/320x320.jpeg
Пирожное бисквитное Медвежонок Барни вареная сгущенка 150 г;129.99;13;1 шт;149.49;https://photos.okolo.app/product/1177919-main/320x320.jpeg
Леденцы HALLS Ментол Экстра 24.5г;39.99;20;1 шт;49.99;https://photos.okolo.app/product/1176768-main/320x320.jpeg
Леденцы HALLS Colors ассорти 25г;39.99;20;1 шт;49.99;https://photos.okolo.app/product/1176764-main/320x320.jpeg
Леденцы HALLS со вкусом меда и лимона 25г;39.99;20;1 шт;49.99;https://photos.okolo.app/product/1176763-main/320x320.jpeg
Жевательная резинка Dirol X-Fresh Ледяной мандарин без сахара 16г;39.99;33;1 шт;59.99;https://photos.okolo.app/product/1176762-main/320x320.jpeg
Жевательная резинка Dirol X-Fresh Арбузный лёд без сахара 16г;39.99;33;1 шт;59.99;https://photos.okolo.app/product/1176761-main/320x320.jpeg
Шоколад молочный Milka с соленым крекером Tuc 87г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1175770-main/320x320.jpeg
Печенье Oreo Original какао-ваниль 95г;69.99;18;1 шт;84.99;https://photos.okolo.app/product/1175012-main/320x320.jpeg
Печенье Юбилейное молочное витаминизированное с глазурью 116г;69.99;0.0;1 шт;69.99;https://photos.okolo.app/product/1174816-main/320x320.jpeg
Шоколад молочный Milka с карамельной начинкой 90г;69.99;0.0;1 шт;69.99;https://photos.okolo.app/product/1174412-main/320x320.jpeg
Жевательная резинка Dirol Клубника-черешня без сахара 13.6г;29.99;17;1 шт;35.99;https://photos.okolo.app/product/1172760-main/320x320.jpeg
Батончик Picnic BIg с арахисом и изюмом 76г;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1172455-main/320x320.jpeg
Батончик шоколадный Picnic грецкий орех, 52г;55.99;0.0;1 шт;55.99;https://photos.okolo.app/product/1170222-main/320x320.jpeg
Крекер Tuc со сметаной и луком, 100г;91.99;0.0;1 шт;91.99;https://photos.okolo.app/product/1168844-main/320x320.jpeg
Пирожное бисквитное Медвежонок Барни молочная начинка 150 г;129.99;13;1 шт;149.49;https://photos.okolo.app/product/1164953-main/320x320.jpeg
Жевательная резинка Dirol Мята без сахара 13.6г;29.99;17;1 шт;35.99;https://photos.okolo.app/product/1164582-main/320x320.jpeg
Пирожное Медвежонок Барни бисквитное с шоколадной начинкой, 150г;92.19;0.0;1 шт;92.19;https://photos.okolo.app/product/1161141-main/320x320.jpeg
Жевательная резинка Dirol Арбузно-дынный коктейль без сахара 13.6г;29.99;17;1 шт;35.99;https://photos.okolo.app/product/1160347-main/320x320.jpeg
Жевательная резинка Dirol Арбузная свежесть без сахара 13.6г;29.99;17;1 шт;35.99;https://photos.okolo.app/product/1160346-main/320x320.jpeg
