Название	Цена	Размер скидки	Мера веса/объема/цена за указанную меру	Старая цена	Ссылка на картинку
Драже Skittles фрукты 38г	44.99	0.0	1 шт	44.99	https://photos.okolo.app/product/1159333-main/320x320.jpeg
Конфеты КФ Крупской Сказки Перро, 200г	159.99	0.0	1 шт	159.99	https://photos.okolo.app/product/1159308-main/320x320.jpeg
Торт Пекарь Полярный вафельный, 213г	173.99	0.0	1 шт	173.99	https://photos.okolo.app/product/1159241-main/320x320.jpeg
Вафельный торт Пекарь Балтийский 320г	259.99	0.0	1 шт	259.99	https://photos.okolo.app/product/1159240-main/320x320.jpeg
Конфета Nuts Мегабайт цельный фундук 66г	49.99	29	1 шт	69.99	https://photos.okolo.app/product/1159238-main/320x320.jpeg
Конфеты Рот Фронт Батончики шоколадно-сливочные, кг	399.99	29	1 кг	559.99	https://photos.okolo.app/product/1159024-main/320x320.jpeg
Конфеты Konti Золотая Лилия	399.99	17	1 кг	479.99	https://photos.okolo.app/product/1212712-main/320x320.jpeg
Карамель Леденцы Мини	199.99	0.0	1 кг	199.99	https://photos.okolo.app/product/1212699-main/320x320.jpeg
Конфеты Bounty	816.99	0.0	1 кг	816.99	https://photos.okolo.app/product/1212696-main/320x320.jpeg
Конфеты Райские Облака Суфле сливочное	558.99	0.0	1 кг	558.99	https://photos.okolo.app/product/1212692-main/320x320.jpeg
Конфеты Азовская КФ Азовская молочная	379.99	0.0	1 кг	379.99	https://photos.okolo.app/product/1212593-main/320x320.jpeg
Конфеты Яшкино Крокант с миндалём	562.99	0.0	1 кг	562.99	https://photos.okolo.app/product/1212582-main/320x320.jpeg
Конфеты Яшкино Чио Рио	319.99	43	1 кг	559.99	https://photos.okolo.app/product/1212581-main/320x320.jpeg
Шоколадный батончик Twix 55г	49.99	0.0	1 шт	49.99	https://photos.okolo.app/product/1157272-main/320x320.jpeg
Карамель Chupa Chups XXL Trio с жевательной резинкой, 29г	39.99	0.0	1 шт	39.99	https://photos.okolo.app/product/1158580-main/320x320.jpeg
Вафельный батончик Kinder Bueno 43г	87.19	0.0	1 шт	87.19	https://photos.okolo.app/product/1158562-main/320x320.jpeg
Батончик шоколадный Milky Way, 26г	18.99	0.0	1 шт	18.99	https://photos.okolo.app/product/1157214-main/320x320.jpeg
Шоколад тёмный Бабаевский с целым миндалем 55%, 100г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1158376-main/320x320.jpeg
