Название	Цена	Размер скидки	Мера веса/объема/цена за указанную меру	Старая цена	Ссылка на картинку
Семечки Бабкины Семечки жареные, 300г	128.99	0.0	1 шт	128.99	https://photos.okolo.app/product/1159116-main/320x320.jpeg
Палочки Кузя Лакомкин кукурузные со вкусом малины 100г	76.49	0.0	1 шт	76.49	https://photos.okolo.app/product/1458926-main/320x320.jpeg
Семечки тыквенные От Мартина обжаренные неочищенные без соли 100г	159.99	0.0	1 шт	159.99	https://photos.okolo.app/product/1445625-main/320x320.jpeg
Чипсы Lay's Паприка рифленые 140г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1439725-main/320x320.jpeg
Чипсы Lay's Лобстер рифленые 140г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1439724-main/320x320.jpeg
Чипсы Lay's Сметана и лук рифленые 140г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1439722-main/320x320.jpeg
Чипсы Lay's С солью 140г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1439721-main/320x320.jpeg
Чипсы Lay's Зеленый лук 140г	129.99	0.0	1 шт	129.99	https://photos.okolo.app/product/1439720-main/320x320.jpeg
Ядра подсолнечника Mixbar жареные 70г	29.99	25	1 шт	39.99	https://photos.okolo.app/product/1449468-main/320x320.jpeg
Семена Don Semi подсолнечника натуральные 500г	89.99	0.0	1 шт	89.99	https://photos.okolo.app/product/1447588-main/320x320.jpeg
Чипсы Twister Картофельная Соломка со вкусом сыра 50г	35.99	13	1 шт	41.39	https://photos.okolo.app/product/1458238-main/320x320.jpeg
Палочки Кузя Лакомкин кукурузные со вкусом банана 100г	59.99	40	1 шт	99.99	https://photos.okolo.app/product/1431651-main/320x320.jpeg
Кукурузные снеки Cheetos Сыр 50г	47.19	0.0	1 шт	47.19	https://photos.okolo.app/product/1408829-main/320x320.jpeg
Чипсы Lay’s Сыр 81г	79.99	0.0	1 шт	79.99	https://photos.okolo.app/product/1411553-main/320x320.jpeg
Чипсы Lay’s Сметана и лук 81г	79.99	0.0	1 шт	79.99	https://photos.okolo.app/product/1411552-main/320x320.jpeg
Чипсы Lay’s Краб 81г	79.99	0.0	1 шт	79.99	https://photos.okolo.app/product/1411548-main/320x320.jpeg
Кукурузные снеки Cheetos Краб 85г	69.99	0.0	1 шт	69.99	https://photos.okolo.app/product/1390314-main/320x320.jpeg
Чипсы Русская картошка камчатский краб 200г	89.99	55	1 шт	197.99	https://photos.okolo.app/product/1391705-main/320x320.jpeg
Чипсы Русская картошка лук и сметана 200г	89.99	55	1 шт	197.99	https://photos.okolo.app/product/1391703-main/320x320.jpeg
Чипсы Bon Giorno Карамелизованный лук с сыром 90г	107.99	0.0	1 шт	107.99	https://photos.okolo.app/product/1369191-main/320x320.jpeg
