Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Гель Tiret Turbo для устранения засоров, 500мл;469.99;0.0;1 шт;469.99;https://photos.okolo.app/product/1159331-main/320x320.jpeg
Жидкость моющая Mr.Proper Лимон для полов и стен, 500мл;129.19;0.0;1 шт;129.19;https://photos.okolo.app/product/1159275-main/320x320.jpeg
Батарейки Duracell ААА MN2400 К4, 4шт;294.29;0.0;1 шт;294.29;https://photos.okolo.app/product/1158676-main/320x320.jpeg
Батарейки Duracell АА MN1500 К4, 4шт;294.29;0.0;1 шт;294.29;https://photos.okolo.app/product/1158674-main/320x320.jpeg
Порошок стиральный Миф 3в1 Свежий цвет автомат 400г;79.99;0.0;1 шт;79.99;https://photos.okolo.app/product/1158260-main/320x320.jpeg
Салфетки Красная Цена нетканые 25х30см 3шт.;19.99;0.0;1 шт;19.99;https://photos.okolo.app/product/1465691-main/320x320.jpeg
Лампа GP LEDC37 светодиодная свчеча E14 560lm теплый свет 2700K 6W;199.99;0.0;1 шт;199.99;https://photos.okolo.app/product/1461037-main/320x320.jpeg
Лампа GP LEDA60 светодиодная 806lm E27 8W теплый свет 1шт.;199.99;0.0;1 шт;199.99;https://photos.okolo.app/product/1461019-main/320x320.jpeg
Гель для стирки детского белья 1л;219.99;0.0;1 шт;219.99;https://photos.okolo.app/product/1463666-main/320x320.jpeg
Пьезо-зажигалка Foxlite fx-58 цвет в ассортименте 1шт.;29.99;0.0;1 шт;29.99;https://photos.okolo.app/product/1450246-main/320x320.jpeg
Освежитель воздуха Airwick Freshmatic Дикий Гранат 250мл;299.99;38;1 шт;479.99;https://photos.okolo.app/product/1465961-main/320x320.jpeg
Спички Пыл да жар хозяйственные 700шт.;99.99;0.0;1 шт;99.99;https://photos.okolo.app/product/1445756-main/320x320.jpeg
Гранулы Econta для прочистки сливных труб 90г;23.99;0.0;1 шт;23.99;https://photos.okolo.app/product/1451506-main/320x320.jpeg
Шарики Econta надувные 25шт.;79.99;0.0;1 шт;79.99;https://photos.okolo.app/product/1455777-main/320x320.jpeg
Капсулы для стирки Persil Color 11шт.;299.99;35;1 шт;459.99;https://photos.okolo.app/product/1435655-main/320x320.jpeg
Капсулы Mipao для стирки детского белья жидкие 15шт;359.99;0.0;1 шт;359.99;https://photos.okolo.app/product/1441922-main/320x320.jpeg
