Название	Цена	Размер скидки	Мера веса/объема/цена за указанную меру	Старая цена	Ссылка на картинку
Корм сухой Chappi мясное изобилие с овощами и травами для собак, 2.5кг	459.99	0.0	1 шт	459.99	https://photos.okolo.app/product/1158492-main/320x320.jpeg
Корм влажный Lamour С рыбой в соусе для кошек 75г	9.99	0.0	1 шт	9.99	https://photos.okolo.app/product/1471901-main/320x320.jpeg
Корм влажный Lamour С кроликом в соусе для кошек 75г	9.99	0.0	1 шт	9.99	https://photos.okolo.app/product/1471899-main/320x320.jpeg
Корм влажный Felix Природа Вкуса Курица в соусе 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1471067-main/320x320.jpeg
Корм влажный Felix Природа Вкуса Лосось для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1471066-main/320x320.jpeg
Влажный корм Felix С лососем и форелью в желе для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1473388-main/320x320.jpeg
Корм влажный Felix С индейкой и печенью в желе для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1474147-main/320x320.jpeg
Корм влажный Felix Ягненок и курица в желе для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1473190-main/320x320.jpeg
Корм влажный Felix С говядиной и домашней птицей в желе для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1474136-main/320x320.jpeg
Корм влажный Felix Sensation Треска в соусе с томатами для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1473189-main/320x320.jpeg
Корм влажный Felix Sensation Утка в соусе с морковью для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1474247-main/320x320.jpeg
Корм влажный Felix Sensations Говядина в соусе с томатами для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1474246-main/320x320.jpeg
Корм влажный Felix Sensations Индейка в соусе со вкусом бекона для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1473387-main/320x320.jpeg
Корм влажный Felix Sensations Курица с морковью в желе для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1473188-main/320x320.jpeg
Корм влажный Felix Sensation Говядина в желе с томатами для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1474183-main/320x320.jpeg
Корм влажный Felix Форель в желе для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1473385-main/320x320.jpeg
Корм влажный Felix Ягненок в желе для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1473186-main/320x320.jpeg
Корм влажный Felix Кролик в желе для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1473384-main/320x320.jpeg
Корм влажный Felix Говядина в желе для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1473383-main/320x320.jpeg
Корм влажный Felix Курица и томаты в желе 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1473185-main/320x320.jpeg
Корм влажный Felix Лосось в желе для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1474182-main/320x320.jpeg
Корм влажный Felix Курица в желе для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1473382-main/320x320.jpeg
Корм влажный Felix Индейка в желе для взрослых кошек 75г	19.99	0.0	1 шт	19.99	https://photos.okolo.app/product/1473381-main/320x320.jpeg
Корм Felix Мясное Объедение сухой для взрослых кошек с курицей 1.3кг	499.99	0.0	1 шт	499.99	https://photos.okolo.app/product/1452728-main/320x320.jpeg
Корм Purina One с говядиной высокого качества и морковью для стерилизованных кошек 75г	26.99	0.0	1 шт	26.99	https://photos.okolo.app/product/1450405-main/320x320.jpeg
Влажный корм Brit Premium Перепелка в желе для взрослых стерилизованных кошек 85г	59.99	0.0	1 шт	59.99	https://photos.okolo.app/product/1466742-main/320x320.jpeg
Корм влажный Brit Premium Форель в желе Полнорационный Для взрослых кошек 85г	59.99	0.0	1 шт	59.99	https://photos.okolo.app/product/1466741-main/320x320.jpeg
Корм Purina Felix Мясное Объедение сухой для взрослых кошек с говядиной 600г	296.99	0.0	1 шт	296.99	https://photos.okolo.app/product/1450458-main/320x320.jpeg
Сухой корм Felix Мясное объедение с курицей для взрослых кошек 200г	99.99	0.0	1 шт	99.99	https://photos.okolo.app/product/1449992-main/320x320.jpeg
