Название	Цена	Размер скидки	Мера веса/объема/цена за указанную меру	Старая цена	Ссылка на картинку
Торт Фили-Бейкер Панчо бисквитно-фруктовый 1 кг	519.99	28	1 шт	719.99	https://photos.okolo.app/product/1158911-main/320x320.jpeg
Пирожное Карат плюс Трубочки слоеные сливочные 140г	113.99	0.0	1 шт	113.99	https://photos.okolo.app/product/1468073-main/320x320.jpeg
Коржи Шарлиз бисквитные, 400г	124.99	17	1 шт	149.99	https://photos.okolo.app/product/1209893-main/320x320.jpeg
Пирожное Фили-Бейкер Муравьиный домик песочное, 400г	239.99	0.0	1 шт	239.99	https://photos.okolo.app/product/1199088-main/320x320.jpeg
Торт Mirel Наполеон классический, 550г	463.99	0.0	1 шт	463.99	https://photos.okolo.app/product/1192810-main/320x320.jpeg
Эклеры Карат Плюс с масляным кремом, 150г	169.99	0.0	1 шт	169.99	https://photos.okolo.app/product/1180407-main/320x320.jpeg
Торт бисквитный Карат Плюс Чайный, 550г	369.99	0.0	1 шт	369.99	https://photos.okolo.app/product/1176558-main/320x320.jpeg
Торт Карат Плюс Чудесный пень 1кг	376.99	25	1 шт	503.99	https://photos.okolo.app/product/1172685-main/320x320.jpeg
Пирожное Карат Плюс Картошка бисквитное, 350г	229.99	0.0	1 шт	229.99	https://photos.okolo.app/product/1170587-main/320x320.jpeg
Эклеры Фили-Бейкер заварные, 250г	199.99	0.0	1 шт	199.99	https://photos.okolo.app/product/1164959-main/320x320.jpeg
Набор пирожных Карат Плюс Питерский, 400г	319.99	0.0	1 шт	319.99	https://photos.okolo.app/product/1163632-main/320x320.jpeg
Пирожное Mirel муравейник 420г	279.99	0.0	1 шт	279.99	https://photos.okolo.app/product/1160595-main/320x320.jpeg
Торт Карат Плюс Трюфельный, 1кг	599.99	0.0	1 шт	599.99	https://photos.okolo.app/product/1159741-main/320x320.jpeg
