Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Хлеб Хлебный Дом Бородинский нарезка 400г;54.99;0.0;1 шт;54.99;https://photos.okolo.app/product/1159014-main/320x320.jpeg
Кекс Аладушкин столичный 400г;99.99;44;1 шт;179.99;https://photos.okolo.app/product/1158823-main/320x320.jpeg
Хлебные палочки Saltletts Классические солёные, 75г;24.99;17;1 шт;29.99;https://photos.okolo.app/product/1158496-main/320x320.jpeg
Кекс Хлебный Дом Ягодное Лукошко с клубникой 2х70г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1158151-main/320x320.jpeg
Лаваш Арнаут круглый мини 200г;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1473570-main/320x320.jpeg
Лепешка Каравай Узбекская с кунжутом 200г;42.19;0.0;1 шт;42.19;https://photos.okolo.app/product/1452430-main/320x320.jpeg
Крекер Зерница с розмарином 180г;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1437682-main/320x320.jpeg
Ролл Арнаут пшеничный бездрожжевой 200г;60.99;0.0;1 шт;60.99;https://photos.okolo.app/product/1212502-main/320x320.jpeg
Хлеб Селяночка столичный 350г;23.99;0.0;1 шт;23.99;https://photos.okolo.app/product/1209027-main/320x320.jpeg
Булочка Ремесленный Хлеб с абрикосовой начинкой, 75г;16.19;0.0;1 шт;16.19;https://photos.okolo.app/product/1208908-main/320x320.jpeg
Булочка Ремесленный Хлеб с лимонной начинкой, 75г;15.99;0.0;1 шт;15.99;https://photos.okolo.app/product/1208907-main/320x320.jpeg
Слойка Хлебный дом Франтик с яблочной начинкой 150г;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1206948-main/320x320.jpeg
Слойка Хлебный Дом Франтик с клубничной начинкой 150г;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1205209-main/320x320.jpeg
Хлебцы Круазетт ржаные тонкие, 200г;199.99;0.0;1 шт;199.99;https://photos.okolo.app/product/1204923-main/320x320.jpeg
Хлебцы Бурже шведские с семенами 4х70г;81.99;0.0;1 шт;81.99;https://photos.okolo.app/product/1204209-main/320x320.jpeg
Сухарики Mix Bar ржано-пшеничные со вкусом томата и зелени, 50г;14.99;0.0;1 шт;14.99;https://photos.okolo.app/product/1203906-main/320x320.jpeg
Сухарики Mix Bar ржаные со вкусом сёмги и сыра, 50г;14.99;0.0;1 шт;14.99;https://photos.okolo.app/product/1200395-main/320x320.jpeg
Хлебцы Зерница ржано-пшеничные подовые 240г;47.79;0.0;1 шт;47.79;https://photos.okolo.app/product/1197874-main/320x320.jpeg
