Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Чай Принцесса Нури Высокогорный чёрный в пакетиках, 25х2г;52.99;29;1 шт;74.49;https://photos.okolo.app/product/1159293-main/320x320.jpeg
Чай зеленый Принцесса Ява Традиционный 25 пак;47.99;0.0;1 шт;47.99;https://photos.okolo.app/product/1159193-main/320x320.jpeg
Чай Akbar Akbar Mountain чёрный в пакетиках, 25х2г;59.99;0.0;1 шт;59.99;https://photos.okolo.app/product/1157263-main/320x320.jpeg
Какао-порошок Золотой Ярлык 100г;126.99;0.0;1 шт;126.99;https://photos.okolo.app/product/1157258-main/320x320.jpeg
Напиток кофейный MacCoffee Original 3в1 растворимый, 20г;16.49;0.0;1 шт;16.49;https://photos.okolo.app/product/1157239-main/320x320.jpeg
Кофе Jacobs Monarch натуральный растворимый сублимированный, 190г;758.99;0.0;1 шт;758.99;https://photos.okolo.app/product/1158559-main/320x320.jpeg
Чай Ahmad Tea Earl Grey чёрный, 100х2г;359.99;31;1 шт;519.99;https://photos.okolo.app/product/1158374-main/320x320.jpeg
Чай Greenfield Золотой Цейлон чёрный в пакетиках, 25х2г;128.99;0.0;1 шт;128.99;https://photos.okolo.app/product/1158245-main/320x320.jpeg
Чай Greenfield Flying Dragon зелёный крупнолистовой, 100г;129.99;31;1 шт;188.99;https://photos.okolo.app/product/1158244-main/320x320.jpeg
Чай Greenfield Золотой Цейлон чёрный крупнолистовой, 100г;129.99;31;1 шт;188.99;https://photos.okolo.app/product/1158241-main/320x320.jpeg
Кофе Coffesso Decaffeinato жареный молотый в капсулах 20х5г;299.99;0.0;1 шт;299.99;https://photos.okolo.app/product/1472440-main/320x320.jpeg
Чай черный Lipton Yellow Label листовой 180г;169.99;29;1 шт;239.99;https://photos.okolo.app/product/1465093-main/320x320.jpeg
Какао-напиток Хрутка быстрорастворимый 250г;109.99;37;1 шт;174.99;https://photos.okolo.app/product/1458217-main/320x320.jpeg
Какао-напиток Хрутка быстрорастворимый 500г;179.99;41;1 шт;304.99;https://photos.okolo.app/product/1458216-main/320x320.jpeg
Кофе в капсулах Caffe Tiziano Bonini Classico жареный молотый 16шт. 112г;449.99;0.0;1 шт;449.99;https://photos.okolo.app/product/1459633-main/320x320.jpeg
Кофе в капсулах Caffe Tiziano Bonini Cappuccino жареный молотый 16 шт. 164г;449.99;0.0;1 шт;449.99;https://photos.okolo.app/product/1459632-main/320x320.jpeg
Чай Tusker черный 100х1.5г;129.99;0.0;1 шт;129.99;https://photos.okolo.app/product/1452167-main/320x320.jpeg
